Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121303-69531,QB,Jalen,Jalen Hurts,Hurts,20.752000427246095,5,13600,20400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-64401,RB,Saquon,Saquon Barkley,Barkley,14.4,5,13000,19500,PHI@NYG,PHI,NYG,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
121303-151966,QB,Jaxson,Jaxson Dart,Dart,9.354999542236328,4,12200,18300,PHI@NYG,NYG,PHI,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121303-183240,RB,Cam,Cam Skattebo,Skattebo,11.859999847412109,5,11000,16500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-72846,WR,A.J.,A.J. Brown,Brown,7.580000305175782,5,10000,15000,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-90576,WR,DeVonta,DeVonta Smith,Smith,9.740000152587891,5,9600,14400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,9.480000305175782,5,8400,12600,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-83074,TE,Dallas,Dallas Goedert,Goedert,11.199999809265137,4,8000,12000,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-22015,QB,Russell,Russell Wilson,Wilson,13.210000038146973,4,8000,12000,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-63819,WR,Darius,Darius Slayton,Slayton,4.1200000762939455,5,7600,11400,PHI@NYG,NYG,PHI,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121303-12545,D,Philadelphia,Philadelphia Eagles,Eagles,7.4,5,7200,10800,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,7000,10500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-41235,K,Jake,Jake Elliott,Elliott,7,5,6800,10200,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-53212,K,Younghoe,Younghoe Koo,Koo,9,1,6600,9900,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-176119,K,Jude,Jude McAtamney,McAtamney,4.5,2,6600,9900,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-70603,RB,Devin,Devin Singletary,Singletary,1.6399999618530274,5,6400,9600,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-12543,D,New York,New York Giants,Giants,2.8,5,6000,9000,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.400000254313151,3,5800,8700,PHI@NYG,NYG,PHI,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
121303-128810,TE,Theo,Theo Johnson,Johnson,7.080000305175782,5,5200,7800,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-86229,WR,Jahan,Jahan Dotson,Dotson,2.4799999237060546,5,4800,7200,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-90307,TE,Daniel,Daniel Bellinger,Bellinger,3,4,4200,6300,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-93107,RB,A.J.,A.J. Dillon,Dillon,1.4500000476837158,4,3600,5400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-86682,TE,Grant,Grant Calcaterra,Calcaterra,2,3,3000,4500,PHI@NYG,PHI,NYG,Q,Oblique,,,,MVP - 1.5X Points/AnyFLEX
121303-152520,RB,Will,Will Shipley,Shipley,1.1666666666666667,3,2600,3900,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-139094,WR,Jalin,Jalin Hyatt,Hyatt,0,2,2200,3300,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-152717,WR,Beaux,Beaux Collins,Collins,1.2000000476837158,1,1800,2700,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-128693,RB,Tank,Tank Bigsby,Bigsby,0.30000001192092896,4,1600,2400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-104577,WR,Gunner,Gunner Olszewski,Olszewski,0,5,1400,2100,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-102696,WR,John,John Metchie III,Metchie III,0.949999988079071,4,1200,1800,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-114054,WR,Dalen,Dalen Cambre,Cambre,,0,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-183693,WR,Da'Quan,Da'Quan Felton,Felton,,0,1000,1500,PHI@NYG,NYG,PHI,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
121303-24849,QB,Jameis,Jameis Winston,Winston,13.830909035422586,11,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-64147,WR,Britain,Britain Covey,Covey,1.3800000190734862,5,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-92056,TE,Cal,Cal Adomitis,Adomitis,,0,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-90522,TE,Cameron,Cameron Latu,Latu,,0,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-93600,WR,Bryce,Bryce Ford-Wheaton,Ford-Wheaton,0,1,1000,1500,PHI@NYG,NYG,PHI,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
121303-226859,WR,Darius,Darius Cooper,Cooper,,0,1000,1500,PHI@NYG,PHI,NYG,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
121303-85672,WR,Terrace,Terrace Marshall,Marshall,1.1199999809265138,5,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-119722,WR,Johnny,Johnny Wilson,Wilson,1.2300000190734863,10,1000,1500,PHI@NYG,PHI,NYG,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
121303-152628,TE,Thomas,Thomas Fidone II,Fidone II,,0,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-151737,TE,E.J.,E.J. Jenkins,Jenkins,2.3999999364217124,3,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-173631,RB,Dante,Dante Miller,Miller,,0,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-152646,QB,Kyle,Kyle McCord,McCord,,0,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-112455,WR,Xavier,Xavier Gipson,Gipson,-2,1,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-151761,WR,Malik,Malik Nabers,Nabers,12.774999618530273,4,1000,1500,PHI@NYG,NYG,PHI,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
121303-73687,WR,Quez,Quez Watkins,Watkins,,0,1000,1500,PHI@NYG,PHI,NYG,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
121303-18009,TE,Chris,Chris Manhertz,Manhertz,0.6000000238418579,2,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-157150,RB,Audric,Audric Estime,Estime,3.553846212533804,13,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0.4,15,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-71143,TE,Kylen,Kylen Granson,Granson,0.800000011920929,2,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
121303-71031,WR,Lil'Jordan,Lil'Jordan Humphrey,Humphrey,3.4857142312186107,14,1000,1500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
121303-10744,K,Graham,Graham Gano,Gano,8,3,1000,1500,PHI@NYG,NYG,PHI,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
121303-138746,WR,Javon,Javon Baker,Baker,0.2833333412806193,6,1000,1500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX