"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"vs. NE","3 out of 5 stars","A+","20.5","","","",""
"2","Stefon Diggs",BUF,"vs. TB","3 out of 5 stars","A+","17.4","","","",""
"3","A.J. Brown",PHI,"at WAS","3 out of 5 stars","A+","15.8","","","",""
"4","Cooper Kupp",LAR,"at DAL","3 out of 5 stars","A+","15.3","","","",""
"5","Keenan Allen",LAC,"vs. CHI","3 out of 5 stars","A+","15.2","","","",""
"6","Ja'Marr Chase",CIN,"at SF","4 out of 5 stars","A+","14.1","","","",""
"7","Amon-Ra St. Brown",DET,"vs. LV","3 out of 5 stars","A","13.7","","","",""
"8","Davante Adams",LV,"at DET","4 out of 5 stars","A","13.7","","","",""
"9","Brandon Aiyuk",SF,"vs. CIN","2 out of 5 stars","A","13.6","","","",""
"10","CeeDee Lamb",DAL,"vs. LAR","2 out of 5 stars","A","13.1","","","",""
"11","Puka Nacua",LAR,"at DAL","3 out of 5 stars","A","12.6","","","",""
"12","Adam Thielen",CAR,"vs. HOU","4 out of 5 stars","A","12.5","","","",""
"13","Chris Olave",NO,"at IND","4 out of 5 stars","A","12.4","","","",""
"14","Mike Evans",TB,"at BUF","4 out of 5 stars","A","12.4","","","",""
"15","Jaylen Waddle",MIA,"vs. NE","3 out of 5 stars","A","12.0","","","",""
"16","DeVonta Smith",PHI,"at WAS","3 out of 5 stars","A","12.0","","","",""
"17","Zay Flowers",BAL,"at ARI","5 out of 5 stars","A-","11.7","","","",""
"18","Christian Kirk",JAC,"at PIT","3 out of 5 stars","A-","11.6","","","",""
"19","Nico Collins",HOU,"at CAR","3 out of 5 stars","A-","11.4","","","",""
"20","Jakobi Meyers",LV,"at DET","4 out of 5 stars","B+","11.3","","","",""
"21","DJ Moore",CHI,"at LAC","4 out of 5 stars","A-","11.2","","","",""
"22","Terry McLaurin",WAS,"vs. PHI","3 out of 5 stars","B+","11.0","","","",""
"23","Jordan Addison",MIN,"at GB","2 out of 5 stars","B+","10.8","","","",""
"24","DK Metcalf",SEA,"vs. CLE","2 out of 5 stars","B","10.7","","","",""
"25","Garrett Wilson",NYJ,"at NYG","3 out of 5 stars","B","10.6","","","",""
"26","Courtland Sutton",DEN,"vs. KC","3 out of 5 stars","B","10.5","","","",""
"27","Chris Godwin",TB,"at BUF","4 out of 5 stars","B","10.5","","","",""
"28","Amari Cooper",CLE,"at SEA","3 out of 5 stars","B","10.5","","","",""
"29","George Pickens",PIT,"vs. JAC","2 out of 5 stars","B","10.3","","","",""
"30","Calvin Ridley",JAC,"at PIT","3 out of 5 stars","B","10.2","","","",""
"31","Tyler Lockett",SEA,"vs. CLE","2 out of 5 stars","B-","10.2","","","",""
"32","Drake London",ATL,"at TEN","5 out of 5 stars","B-","10.2","","","",""
"33","Tee Higgins",CIN,"at SF","4 out of 5 stars","B-","10.1","","","",""
"34","Michael Pittman Jr.",IND,"vs. NO","3 out of 5 stars","B-","9.7","","","",""
"35","Marquise Brown",ARI,"vs. BAL","2 out of 5 stars","C+","9.6","","","",""
"36","Joshua Palmer",LAC,"vs. CHI","3 out of 5 stars","B-","9.6","","","",""
"37","Rashee Rice",KC,"at DEN","4 out of 5 stars","C+","9.6","","","",""
"38","Diontae Johnson",PIT,"vs. JAC","2 out of 5 stars","C+","9.5","","","",""
"39","Josh Downs",IND,"vs. NO","3 out of 5 stars","C+","9.1","","","",""
"40","Gabe Davis",BUF,"vs. TB","3 out of 5 stars","C+","9.0","","","",""
"41","Michael Thomas",NO,"at IND","4 out of 5 stars","C","8.9","","","",""
"42","Tank Dell",HOU,"at CAR","3 out of 5 stars","C","8.9","","","",""
"43","DeAndre Hopkins",TEN,"vs. ATL","2 out of 5 stars","C","8.8","","","",""
"44","Romeo Doubs",GB,"vs. MIN","3 out of 5 stars","C","8.6","","","",""
"45","Kendrick Bourne",NE,"at MIA","3 out of 5 stars","C","8.4","","","",""
"46","Jerry Jeudy",DEN,"vs. KC","3 out of 5 stars","C","8.0","","","",""
"47","Curtis Samuel",WAS,"vs. PHI","3 out of 5 stars","C","7.9","","","",""
"48","Rashid Shaheed",NO,"at IND","4 out of 5 stars","C","7.9","","","",""
"49","K.J. Osborn",MIN,"at GB","2 out of 5 stars","C","7.8","","","",""
"50","Jaxon Smith-Njigba",SEA,"vs. CLE","2 out of 5 stars","C","7.7","","","",""
"51","Michael Gallup",DAL,"vs. LAR","2 out of 5 stars","C-","7.7","","","",""
"52","Josh Reynolds",DET,"vs. LV","3 out of 5 stars","C-","7.7","","","",""
"53","Wan'Dale Robinson",NYG,"vs. NYJ","3 out of 5 stars","C-","7.5","","","",""
"54","Brandin Cooks",DAL,"vs. LAR","2 out of 5 stars","C-","7.5","","","",""
"55","Elijah Moore",CLE,"at SEA","3 out of 5 stars","C-","7.4","","","",""
"56","Jayden Reed",GB,"vs. MIN","3 out of 5 stars","C-","7.3","","","",""
"57","Odell Beckham Jr.",BAL,"at ARI","5 out of 5 stars","D+","7.1","","","",""
"58","DJ Chark Jr.",CAR,"vs. HOU","4 out of 5 stars","D+","6.8","","","",""
"59","Tutu Atwell",LAR,"at DAL","3 out of 5 stars","D+","6.8","","","",""
"60","Jahan Dotson",WAS,"vs. PHI","3 out of 5 stars","D+","6.6","","","",""
"61","Michael Wilson",ARI,"vs. BAL","2 out of 5 stars","D","6.5","","","",""
"62","Tyler Boyd",CIN,"at SF","4 out of 5 stars","D","6.5","","","",""
"63","Darius Slayton",NYG,"vs. NYJ","3 out of 5 stars","D","6.4","","","",""
"64","Allen Lazard",NYJ,"at NYG","3 out of 5 stars","D","6.3","","","",""
"65","Christian Watson",GB,"vs. MIN","3 out of 5 stars","C-","6.3","","","",""
"66","Jameson Williams",DET,"vs. LV","3 out of 5 stars","D","6.1","","","",""
"67","Rondale Moore",ARI,"vs. BAL","2 out of 5 stars","D","5.9","","","",""
"68","Kadarius Toney",KC,"at DEN","4 out of 5 stars","D-","5.9","","","",""
"69","Jalin Hyatt",NYG,"vs. NYJ","3 out of 5 stars","F","5.7","","","",""
"70","Marquez Valdes-Scantling",KC,"at DEN","4 out of 5 stars","F","5.6","","","",""
"71","Nelson Agholor",BAL,"at ARI","5 out of 5 stars","F","5.5","","","",""
"72","Marvin Mims Jr.",DEN,"vs. KC","3 out of 5 stars","F","5.4","","","",""
"73","Skyy Moore",KC,"at DEN","4 out of 5 stars","F","5.4","","","",""
"74","Braxton Berrios",MIA,"vs. NE","3 out of 5 stars","F","5.3","","","",""
"75","Darnell Mooney",CHI,"at LAC","4 out of 5 stars","F","5.2","","","",""
"76","Quentin Johnston",LAC,"vs. CHI","3 out of 5 stars","F","4.9","","","",""
"77","Rashod Bateman",BAL,"at ARI","5 out of 5 stars","F","4.9","","","",""
"78","Jauan Jennings",SF,"vs. CIN","2 out of 5 stars","F","4.7","","","",""
"79","Jake Bobo",SEA,"vs. CLE","2 out of 5 stars","F","4.5","","","",""
"80","Brandon Powell",MIN,"at GB","2 out of 5 stars","F","4.4","","","",""
"81","Trey Palmer",TB,"at BUF","4 out of 5 stars","F","4.3","","","",""
"82","Donovan Peoples-Jones",CLE,"at SEA","3 out of 5 stars","F","4.3","","","",""
"83","Treylon Burks",TEN,"vs. ATL","2 out of 5 stars","F","4.2","","","",""
"84","DeVante Parker",NE,"at MIA","3 out of 5 stars","F","4.1","","","",""
"85","Alec Pierce",IND,"vs. NO","3 out of 5 stars","F","4.1","","","",""
"86","Demario Douglas",NE,"at MIA","3 out of 5 stars","F","4.1","","","",""
"87","Mecole Hardman Jr.",KC,"at DEN","4 out of 5 stars","F","4.0","","","",""
"88","Kalif Raymond",DET,"vs. LV","3 out of 5 stars","F","3.9","","","",""
"89","Allen Robinson II",PIT,"vs. JAC","2 out of 5 stars","F","3.9","","","",""
"90","Deebo Samuel",SF,"vs. CIN","2 out of 5 stars","F","3.8","","","",""
"91","Jonathan Mingo",CAR,"vs. HOU","4 out of 5 stars","F","3.8","","","",""
"92","Mack Hollins",ATL,"at TEN","5 out of 5 stars","F","3.8","","","",""
"93","Robert Woods",HOU,"at CAR","3 out of 5 stars","F","3.7","","","",""
"94","Nick Westbrook-Ikhine",TEN,"vs. ATL","2 out of 5 stars","F","3.6","","","",""
"95","Tyler Scott",CHI,"at LAC","4 out of 5 stars","F","3.6","","","",""
"96","Deonte Harty",BUF,"vs. TB","3 out of 5 stars","F","3.6","","","",""
"97","Van Jefferson",ATL,"at TEN","5 out of 5 stars","F","3.4","","","",""
"98","Tyquan Thornton",NE,"at MIA","3 out of 5 stars","F","3.3","","","",""
"99","Ray-Ray McCloud III",SF,"vs. CIN","2 out of 5 stars","F","3.2","","","",""
"100","Cedrick Wilson Jr.",MIA,"vs. NE","3 out of 5 stars","F","2.9","","","",""
"101","JuJu Smith-Schuster",NE,"at MIA","3 out of 5 stars","F","2.9","","","",""
"102","Isaiah Hodgins",NYG,"vs. NYJ","3 out of 5 stars","F","2.8","","","",""
"103","Tre Tucker",LV,"at DET","4 out of 5 stars","F","2.7","","","",""
"104","Calvin Austin III",PIT,"vs. JAC","2 out of 5 stars","F","2.7","","","",""
"105","Terrace Marshall Jr.",CAR,"vs. HOU","4 out of 5 stars","F","2.6","","","",""
"106","Randall Cobb",NYJ,"at NYG","3 out of 5 stars","F","2.5","","","",""
"107","Olamide Zaccheaus",PHI,"at WAS","3 out of 5 stars","F","2.5","","","",""
"108","Jamal Agnew",JAC,"at PIT","3 out of 5 stars","F","2.3","","","",""
"109","Deven Thompkins",TB,"at BUF","4 out of 5 stars","F","2.3","","","",""
"110","Khalil Shakir",BUF,"vs. TB","3 out of 5 stars","F","2.2","","","",""
"111","Brandon Johnson",DEN,"vs. KC","3 out of 5 stars","F","2.2","","","",""
"112","Dontayvion Wicks",GB,"vs. MIN","3 out of 5 stars","F","2.2","","","",""
"113","Dyami Brown",WAS,"vs. PHI","3 out of 5 stars","F","2.1","","","",""
"114","Justyn Ross",KC,"at DEN","4 out of 5 stars","F","1.9","","","",""
"115","Laviska Shenault Jr.",CAR,"vs. HOU","4 out of 5 stars","F","1.8","","","",""
"116","Noah Brown",HOU,"at CAR","3 out of 5 stars","F","1.8","","","",""
"117","Marquise Goodwin",CLE,"at SEA","3 out of 5 stars","F","1.8","","","",""
"118","Hunter Renfrow",LV,"at DET","4 out of 5 stars","F","1.8","","","",""
"119","Trenton Irwin",CIN,"at SF","4 out of 5 stars","F","1.6","","","",""
"120","Julio Jones",PHI,"at WAS","3 out of 5 stars","F","1.6","","","",""
"121","Derius Davis",LAC,"vs. CHI","3 out of 5 stars","F","1.6","","","",""
"122","Kyle Philips",TEN,"vs. ATL","2 out of 5 stars","F","1.6","","","",""
"123","Tim Jones",JAC,"at PIT","3 out of 5 stars","F","1.6","","","",""
"124","Chris Moore",TEN,"vs. ATL","2 out of 5 stars","F","1.5","","","",""
"125","Trent Sherfield",BUF,"vs. TB","3 out of 5 stars","F","1.4","","","",""
"126","Sterling Shepard",NYG,"vs. NYJ","3 out of 5 stars","F","1.3","","","",""
"127","John Metchie III",HOU,"at CAR","3 out of 5 stars","F","1.3","","","",""
"128","Samori Toure",GB,"vs. MIN","3 out of 5 stars","F","1.0","","","",""